date,city,aqi,temperature,festival,outbreak,patients_admitted
2024-01-01,Delhi,290.0,18.0,New Year,0,290
2024-01-02,Delhi,231.0,31.8,,3,271
2024-01-03,Delhi,252.0,15.7,,3,267
2024-01-04,Delhi,241.0,20.9,,3,263
2024-01-05,Delhi,261.0,18.9,,3,284
2024-01-06,Delhi,242.0,15.0,,3,247
2024-01-07,Delhi,88.0,28.2,,3,196
2024-01-08,Delhi,162.0,28.3,,3,250
2024-01-09,Delhi,219.0,10.0,,3,269
2024-01-10,Delhi,194.0,8.3,,3,261
2024-01-11,Delhi,213.0,19.9,,3,262
2024-01-12,Delhi,346.0,25.0,,3,302
2024-01-13,Delhi,177.0,28.9,,3,221
2024-01-14,Delhi,462.0,21.6,,3,313
2024-01-15,Delhi,287.0,20.2,,3,275
2024-01-16,Delhi,308.0,12.8,,3,289
2024-01-17,Delhi,247.0,17.4,,3,263
2024-01-18,Delhi,186.0,27.1,,3,263
2024-01-19,Delhi,306.0,21.1,,3,299
2024-01-20,Delhi,269.0,18.4,,0,193
2024-01-21,Delhi,230.0,13.6,,0,180
2024-01-22,Delhi,388.0,23.5,,0,246
2024-01-23,Delhi,175.0,26.1,,0,195
2024-01-24,Delhi,173.0,21.1,,0,195
2024-01-25,Delhi,394.0,24.6,,0,269
2024-01-26,Delhi,433.0,33.0,,0,281
2024-01-27,Delhi,133.0,27.2,,0,133
2024-01-28,Delhi,232.0,27.8,,0,173
2024-01-29,Delhi,224.0,13.3,,0,219
2024-01-30,Delhi,145.0,13.2,,0,185
2024-01-31,Delhi,406.0,19.0,,0,263
2024-02-01,Delhi,209.0,22.7,,0,198
2024-02-02,Delhi,249.0,20.2,,0,230
2024-02-03,Delhi,330.0,16.9,,0,205
2024-02-04,Delhi,365.0,29.0,,0,232
2024-02-05,Delhi,95.0,14.5,,0,179
2024-02-06,Delhi,308.0,15.7,,0,240
2024-02-07,Delhi,267.0,24.8,,0,233
2024-02-08,Delhi,405.0,21.4,,0,261
2024-02-09,Delhi,195.0,27.9,,0,212
2024-02-10,Delhi,284.0,1.1,,0,214
2024-02-11,Delhi,320.0,22.6,,0,193
2024-02-12,Delhi,200.0,16.8,,0,196
2024-02-13,Delhi,260.0,29.1,,0,229
2024-02-14,Delhi,327.0,12.6,,0,246
2024-02-15,Delhi,335.0,28.1,,0,266
2024-02-16,Delhi,171.0,12.6,,0,203
2024-02-17,Delhi,249.0,10.7,,0,184
2024-02-18,Delhi,319.0,29.1,,0,211
2024-02-19,Delhi,495.0,11.0,,0,306
2024-02-20,Delhi,249.0,24.9,,0,211
2024-02-21,Delhi,182.0,32.6,,0,216
2024-02-22,Delhi,250.0,9.2,,0,234
2024-02-23,Delhi,265.0,26.7,,0,229
2024-02-24,Delhi,240.0,24.6,,0,186
2024-02-25,Delhi,254.0,20.3,,0,184
2024-02-26,Delhi,241.0,8.1,,0,242
2024-02-27,Delhi,223.0,27.2,,0,212
2024-02-28,Delhi,182.0,14.0,,0,212
2024-02-29,Delhi,392.0,17.0,,0,258
2024-03-01,Delhi,141.0,24.0,,2,242
2024-03-02,Delhi,279.0,24.3,,2,233
2024-03-03,Delhi,108.0,10.6,,2,181
2024-03-04,Delhi,132.0,22.3,,2,225
2024-03-05,Delhi,57.0,25.6,,2,216
2024-03-06,Delhi,206.0,15.7,,2,249
2024-03-07,Delhi,325.0,23.9,,2,292
2024-03-08,Delhi,98.0,42.1,Holi,2,310
2024-03-09,Delhi,38.0,24.6,,2,173
2024-03-10,Delhi,268.0,16.8,,2,228
2024-03-11,Delhi,240.0,30.2,,2,253
2024-03-12,Delhi,173.0,19.5,,2,238
2024-03-13,Delhi,341.0,26.6,,2,283
2024-03-14,Delhi,273.0,40.5,,2,290
2024-03-15,Delhi,78.0,19.7,,2,231
2024-03-16,Delhi,143.0,27.2,,2,198
2024-03-17,Delhi,126.0,23.3,,2,161
2024-03-18,Delhi,118.0,21.8,,2,217
2024-03-19,Delhi,331.0,12.5,,2,287
2024-03-20,Delhi,210.0,35.5,,2,250
2024-03-21,Delhi,293.0,24.2,,2,272
2024-03-22,Delhi,237.0,25.8,,2,258
2024-03-23,Delhi,206.0,21.2,,2,212
2024-03-24,Delhi,253.0,37.0,,2,223
2024-03-25,Delhi,371.0,8.8,,2,309
2024-03-26,Delhi,247.0,26.8,,2,261
2024-03-27,Delhi,183.0,20.7,,0,207
2024-03-28,Delhi,268.0,27.5,,0,232
2024-03-29,Delhi,229.0,29.4,Good Friday,0,261
2024-03-30,Delhi,143.0,10.6,,0,148
2024-03-31,Delhi,244.0,23.3,,0,200
2024-04-01,Delhi,,21.8,,0,209
2024-04-02,Delhi,304.0,25.3,,0,246
2024-04-03,Delhi,268.0,23.0,,0,233
2024-04-04,Delhi,208.0,30.0,,0,205
2024-04-05,Delhi,164.0,35.0,,0,197
2024-04-06,Delhi,250.0,30.5,,0,184
2024-04-07,Delhi,199.0,8.8,,0,195
2024-04-08,Delhi,134.0,23.0,,0,202
2024-04-09,Delhi,309.0,22.2,,0,251
2024-04-10,Delhi,162.0,27.6,,0,215
2024-04-11,Delhi,162.0,20.5,Eid,0,233
2024-04-12,Delhi,37.0,38.5,,0,194
2024-04-13,Delhi,120.0,25.9,,0,148
2024-04-14,Delhi,302.0,32.3,,0,204
2024-04-15,Delhi,232.0,31.7,,0,223
2024-04-16,Delhi,206.0,34.1,,0,219
2024-04-17,Delhi,138.0,26.5,,0,202
2024-04-18,Delhi,165.0,41.3,,0,222
2024-04-19,Delhi,215.0,44.0,,0,225
2024-04-20,Delhi,187.0,15.7,,0,164
2024-04-21,Delhi,212.0,29.3,,0,192
2024-04-22,Delhi,246.0,34.5,,0,219
2024-04-23,Delhi,347.0,36.2,,0,262
2024-04-24,Delhi,224.0,18.1,,0,221
2024-04-25,Delhi,299.0,14.1,,0,240
2024-04-26,Delhi,221.0,29.4,,0,221
2024-04-27,Delhi,204.0,23.4,,0,179
2024-04-28,Delhi,91.0,31.4,,0,130
2024-04-29,Delhi,302.0,29.8,,0,239
2024-04-30,Delhi,209.0,39.7,,0,242
2024-05-01,Delhi,340.0,25.3,,0,264
2024-05-02,Delhi,319.0,34.4,,0,258
2024-05-03,Delhi,59.0,18.0,,0,167
2024-05-04,Delhi,216.0,10.1,,0,190
2024-05-05,Delhi,90.0,13.9,,0,141
2024-05-06,Delhi,200.0,30.8,,0,202
2024-05-07,Delhi,254.0,30.6,,0,221
